City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Nome,US,2023-01-24 22:56:04,64.5011,-165.4064,-11.11,88,1,7.85
179,Lavrentiya,RU,2023-01-24 22:56:04,65.5833,-171.0,-14.82,96,45,12.06
180,Kidero,RU,2023-01-24 22:56:04,42.1932,45.9614,15.24,48,0,3.22
181,Upernavik,GL,2023-01-24 22:56:05,72.7868,-56.1549,14.86,92,100,20.56
182,Saskylakh,RU,2023-01-24 22:56:05,71.9167,114.0833,-15.48,100,100,1.99
183,Noumea,NC,2023-01-24 22:52:59,-22.2763,166.4572,87.78,99,11,5.64
184,Thompson,CA,2023-01-24 22:56:05,55.7435,-97.8558,-9.24,70,75,3.44
185,Itarema,BR,2023-01-24 22:56:06,-2.9248,-39.9167,78.15,79,38,8.32
186,Katsuura,JP,2023-01-24 22:56:06,35.1333,140.3,30.22,43,24,23.15
187,Balkhash,KZ,2023-01-24 22:56:07,46.844,74.9804,-7.22,98,17,7.02
188,Naze,JP,2023-01-24 22:57:07,28.3667,129.4833,41.92,77,100,22.06
189,Arraial Do Cabo,BR,2023-01-24 22:57:08,-22.9661,-42.0278,78.66,83,75,4.61
190,Dawei,MM,2023-01-24 22:57:08,14.0833,98.2,70.57,63,13,9.66
191,Karpogory,RU,2023-01-24 22:57:08,64.0019,44.4451,23.05,94,99,8.61
192,Mar Del Plata,AR,2023-01-24 22:57:03,-38.0023,-57.5575,75.22,84,75,5.99
193,Vidalia,US,2023-01-24 22:57:09,32.2177,-82.4135,56.98,58,0,0.0
194,Teofilo Otoni,BR,2023-01-24 22:57:09,-17.8575,-41.5053,73.83,92,100,2.15
195,Hukuntsi,BW,2023-01-24 22:57:09,-24.0,21.75,75.88,32,56,11.3
196,Aqtobe,KZ,2023-01-24 22:57:10,50.2797,57.2072,-7.51,84,100,0.0
197,Dunedin,NZ,2023-01-24 22:57:10,-45.8742,170.5036,64.27,69,55,7.61
198,Eston,CA,2023-01-24 22:57:11,51.1501,-108.7514,16.41,97,80,3.6
199,Fortuna,US,2023-01-24 22:57:11,40.5982,-124.1573,60.93,65,0,6.91
200,Gat,IL,2023-01-24 22:57:11,31.61,34.7642,60.4,67,0,3.6
201,Estrela,BR,2023-01-24 22:57:12,-28.0611,-50.9383,69.12,56,10,1.99
202,Hamilton,US,2023-01-24 22:53:20,39.1834,-84.5333,41.5,75,44,2.24
203,Pochutla,MX,2023-01-24 22:57:12,15.7432,-96.4661,83.82,47,5,9.6
204,Beringovskiy,RU,2023-01-24 22:57:13,63.05,179.3167,-10.59,95,91,13.0
205,Terrace,CA,2023-01-24 22:52:28,54.5163,-128.6035,37.31,100,100,3.44
206,Geraldton,AU,2023-01-24 22:57:14,-28.7667,114.6,66.61,94,5,5.75
207,Provideniya,RU,2023-01-24 22:57:14,64.3833,-173.3,5.11,61,1,20.13
208,Margate,GB,2023-01-24 22:57:15,51.3813,1.3862,39.9,82,44,3.0
